factor,direction,category,z_score_weight
Return On Invested Capital,TRUE,Garbage1,1
Net Sales / Revenues - 1 Yr Annual Growth,TRUE,Garbage2,1
Beta,TRUE,Garbage3,1
Reinvestment Rate Per Share (Fiscal),TRUE,Garbage4,1
Excess_RSI,FALSE,Garbage5,1
Cash Flow/Sales,TRUE,Garbage6,1
Net Sales To Gross Fixed Assets,FALSE,Garbage7,1
Information Concentration 365 days,FALSE,Garbage8,1
Return On Equity - GAAP - Total Dollar,TRUE,Garbage9,1
Employees - 5 Yr Annual Growth,FALSE,Garbage10,1
