factor,direction,category,z_score_weight
unadjprc,TRUE,Garbage1,1
Dividend Payout Per Share,TRUE,Garbage2,1
Total Assets - 5 Yr Annual Growth,TRUE,Garbage3,1
Net Margin,TRUE,Garbage4,1
Capital Expenditure % Total Assets,FALSE,Garbage5,1
Net Interest Income % Earning Assets,TRUE,Garbage6,1
Up Down to consensus EPS,FALSE,Garbage7,1
Book Value Per Share - Fiscal - 1 Yr Growth Rate,FALSE,Garbage8,1
Quick Ratio,TRUE,Garbage9,1
Total Capital % Total Assets,FALSE,Garbage10,1
