date_,"0-(0, 0.25, 0, 0, 0, 0.25, 0, 0.25, 0, 0.25)","0-(0, 0.25, 0, 0.25, 0, 0, 0, 0.25, 0, 0.25)","0-(0, 0.25, 0, 0.25, 0, 0.25, 0, 0.25, 0, 0)","0-(0, 0.25, 0, 0.25, 0, 0.5, 0, 0, 0, 0)","0-(0, 0.25, 0, 0.5, 0, 0, 0, 0.25, 0, 0)","0-(0, 0.25, 0, 0.5, 0, 0.25, 0, 0, 0, 0)","0-(0, 0.25, 0, 0, 0, 0.25, 0, 0, 0.25, 0.25)",0
2017-01-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-02-28,1.0287230217274599,1.0618098106999883,1.0344553828602658,1.0454438581934198,1.0517202063917181,1.0551462851257996,1.0344758936543017,1.038305952739541
2017-03-31,1.0174486736472599,1.0588715388787762,1.0449636060206602,1.0534702853547888,1.0563115775875427,1.060957238715981,1.0443394326953919,1.039036117923672
2017-04-30,1.020193888952657,1.0520479220853236,1.044749338952129,1.0583674835379369,1.052569987331817,1.0658674838058118,1.0675283673164644,1.0508703249055606
2017-05-31,0.993208079006836,1.0451991035875743,1.044619503342944,1.0410324674071254,1.0583399176528288,1.060495707036554,1.0815374483976805,1.0668452319228612
2017-06-30,1.0037986414306979,1.0463719578745165,1.053764331955956,1.0509003959834926,1.0597898518205173,1.0660981606357445,1.0880240103332703,1.0715653630723911
2017-07-31,1.0187156799633648,1.0660950623584284,1.076578874649248,1.0721384845954178,1.0741711997681387,1.0941846760250318,1.1074431788298227,1.0892911122160658
2017-08-31,1.0058379488995868,1.0652857987817335,1.0932853037310744,1.0869569049105434,1.0866781186265704,1.1041982113163877,1.1089113761188958,1.0914610317914561
2017-09-30,1.0419383192335392,1.0952938285212028,1.143410816552772,1.1331967197811856,1.139405903792168,1.1716777606864328,1.1560618384478152,1.1088468146541024
2017-10-31,1.0494970563132102,1.1102481382604978,1.1705786553157855,1.137610475558972,1.1797349634147098,1.1826632376619823,1.167194699014429,1.1360146964182491
2017-11-30,1.095999621815226,1.161110145348415,1.2095980239308772,1.1389892432875561,1.204593918047856,1.2202310833115617,1.1956346233442847,1.1708927249299386
2017-12-31,1.1287285731867114,1.171035033686329,1.2265211586315705,1.1253363306628417,1.2108354260944374,1.2248421889958079,1.2138340586463603,1.1829678918605464
2018-01-31,1.1679338420321892,1.2353598028458121,1.317464081565173,1.170939198142163,1.3055825839491315,1.2933643603094103,1.2493682299344928,1.2509940992418898
2018-02-28,1.131125826679315,1.1772489138411837,1.3023303110725446,1.1504312437401083,1.2708661903455685,1.280911162856591,1.2242330977240394,1.2030203450876877
2018-03-31,1.105001006086544,1.1528719790738462,1.268624814958314,1.1229516362877938,1.2421916440298937,1.263451055096501,1.1909111282844833,1.171149335815737
2018-04-30,1.101786746161192,1.1355822457562288,1.2558799321525882,1.0847637695691126,1.2268934313888176,1.2503051273181558,1.1673263631246522,1.1759185983859526
2018-05-31,1.1157919101661737,1.1320173672805818,1.2969518954617276,1.1338510833056616,1.2481617221376187,1.287928742725519,1.1829700042556506,1.2040221979283943
2018-06-30,1.1376205548555298,1.1514028601349902,1.2815103124611553,1.1336878376576303,1.2428055352938487,1.2928994700274368,1.173366722497755,1.205270574172298
2018-07-31,1.199262241385993,1.210240040942902,1.3226066573330684,1.1774162556195715,1.2938234629993708,1.3539721189938303,1.226476722303194,1.2473441432756414
2018-08-31,1.233938733411365,1.2260722638965909,1.3309799739083714,1.1946179025830623,1.3023995049032677,1.3604236503735967,1.2727836672921298,1.289233510749815
2018-09-30,1.217673370059792,1.208594012752852,1.3208370028537582,1.202802200174173,1.2880462354924296,1.3409759593703257,1.2644443368263942,1.2945694358633626
2018-10-31,1.1399161508511928,1.1171942791482798,1.1749862638019508,1.1061319672457315,1.175823375905636,1.220787026101455,1.1864563962333008,1.2048040840328802
2018-11-30,1.1895482455378035,1.1769136301923229,1.2151766929952115,1.139351328126245,1.2477577767676307,1.3031094131314145,1.236173519629354,1.2261469702078602
2018-12-31,1.0716814696623336,1.0650965766110634,1.1094832255617995,1.0231482025862253,1.13129911585416,1.1972508076084099,1.123404657745373,1.1082929408057374
2019-01-31,1.1951366096441802,1.1618797793948181,1.2547643787793965,1.150591373131053,1.2518843969082474,1.3374750735640117,1.2444530281756963,1.2031921562335866
2019-02-28,1.2051561936294444,1.1814247055083686,1.3131369512221105,1.1875182960686994,1.3048515549550213,1.4102171985583287,1.289887384567803,1.2422989909778612
2019-03-31,1.197817473176715,1.191894175490126,1.3316937046811583,1.200236987509058,1.3168972156854422,1.4201299094535789,1.2482488719952902,1.2622198003475134
2019-04-30,1.2452010039543784,1.2556176452034133,1.3852261829213903,1.2350191055321678,1.3844943375142948,1.4908046827268076,1.2831523959369284,1.312903564740015
2019-05-31,1.109751599077781,1.1426334766788901,1.23368991809097,1.0802508919314646,1.2776874619341256,1.302274047772295,1.1627620476005174,1.2301735306622192
2019-06-30,1.2085484865249638,1.2233479687787403,1.362260123446005,1.2100620125360348,1.3984687882254823,1.4650332794948195,1.2588977240340407,1.3161259075460452
2019-07-31,1.2139051044410887,1.2376063952397278,1.3886860817604654,1.205314013049126,1.4090994766182057,1.4666244972822222,1.2675304024508964,1.3337693392265924
2019-08-31,1.1251531397904273,1.1890479100825435,1.3353010275622013,1.1850876841741613,1.3728645301080644,1.4372320267368393,1.1927616694543866,1.3115455033285301
2019-09-30,1.197950696676897,1.2554880104486925,1.4181873404399024,1.236884780822224,1.4511947036755009,1.519188649902395,1.2618683013678715,1.3333317949036962
