,"0-(0.25, 0.25, 0, 0.25, 0, 0.25, 0, 0, 0, 0)","0-(0, 0.25, 0, 0.25, 0, 0, 0, 0.25, 0, 0.25)","0-(0, 0.25, 0, 0.25, 0, 0, 0, 0.25, 0.25, 0)","0-(0, 0.25, 0, 0.25, 0, 0, 0, 0.5, 0, 0)","0-(0, 0.25, 0, 0.25, 0, 0, 0.25, 0.25, 0, 0)","0-(0, 0.25, 0, 0.25, 0, 0.25, 0, 0.25, 0, 0)","0-(0, 0.25, 0, 0.25, 0, 0.25, 0.25, 0, 0, 0)","0-(0, 0.25, 0, 0.5, 0, 0, 0, 0.25, 0, 0)","0-(0, 0.25, 0, 0.5, 0, 0.25, 0, 0, 0, 0)","0-(0, 0.25, 0.25, 0.25, 0, 0.25, 0, 0, 0, 0)","0-(0, 0.5, 0, 0, 0, 0, 0, 0.25, 0.25, 0)","0-(0, 0.5, 0, 0, 0, 0, 0.25, 0.25, 0, 0)","0-(0, 0.5, 0, 0, 0, 0.25, 0, 0, 0.25, 0)","0-(0, 0.25, 0, 0, 0, 0, 0.25, 0.25, 0, 0.25)","0-(0, 0.25, 0, 0, 0, 0.25, 0, 0, 0.25, 0.25)","0-(0, 0.25, 0, 0, 0, 0.25, 0, 0, 0.5, 0)","0-(0, 0.25, 0, 0, 0, 0.25, 0, 0.25, 0, 0.25)","0-(0, 0.25, 0, 0, 0, 0.25, 0, 0.25, 0.25, 0)","0-(0, 0.25, 0, 0, 0, 0.25, 0, 0.5, 0, 0)","0-(0, 0.25, 0, 0, 0, 0.25, 0.25, 0.25, 0, 0)","0-(0, 0.25, 0, 0, 0, 0.5, 0, 0.25, 0, 0)",bm,stg
2018-01-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-02-28,0.968746211,0.952960353,0.969235395,0.962160453,0.990773616,0.988512954,0.977131714,0.97340927,0.99037147,1.010241142,0.960238673,0.964206352,0.975118186,0.957492199,0.979881726,0.981931409,0.968484503,0.985500315,0.968453839,0.992305494,0.992913237,0.961651494,0.976669929
2018-03-31,0.930575215,0.933227693,0.942269417,0.935671896,0.965913533,0.962929337,0.971886101,0.951446243,0.976871711,0.98017875,0.945831609,0.935315885,0.943943613,0.932944709,0.953210671,0.948924053,0.946116095,0.948435607,0.937499878,0.961620695,0.972299545,0.936174948,0.95129106
2018-04-30,0.918460103,0.919231987,0.927638281,0.908222977,0.937702451,0.953255538,0.937438168,0.939728705,0.966707577,0.95600234,0.944017367,0.938869977,0.948788599,0.929018989,0.934333318,0.954443396,0.943364004,0.951461257,0.934551921,0.96050225,0.967565355,0.939987326,0.941490693
2018-05-31,0.930832819,0.916346286,0.948643057,0.924564878,0.957079441,0.984430554,0.979276499,0.956018974,0.995797304,0.994662046,0.940973404,0.956260156,0.954987701,0.933161276,0.946854559,0.976566285,0.955355406,0.959583592,0.941491671,0.960812043,0.989216593,0.96245234,0.957281645
2018-06-30,0.910166474,0.93203847,0.927022495,0.919968334,0.940099713,0.972709868,0.988945243,0.951916448,0.999640557,0.970187633,0.964733398,0.973339941,0.955494962,0.936172187,0.939168049,0.968993568,0.974045373,0.964558031,0.953574995,0.96968076,0.977711256,0.963450247,0.956674655
2018-07-31,0.922113788,0.979666036,0.953787758,0.951324191,0.986549068,1.00390339,1.031333306,0.9909932,1.046860545,0.99005907,0.995501816,1.000742165,0.994660403,0.987144542,0.981677533,1.013279257,1.026823779,0.987915391,1.003390424,1.006835451,1.01616258,0.997082356,0.993843985
2018-08-31,0.921444345,0.992481916,0.966550596,0.945948089,0.997759794,1.010259022,1.058742839,0.997561947,1.051848723,1.037800236,1.021728227,1.008814137,1.019458214,1.011339013,1.018741822,1.057860864,1.056514238,1.035703115,1.027565005,1.0364416,1.037535175,1.03056722,1.014861853
2018-09-30,0.901076108,0.978333608,0.964841217,0.92120973,0.990971909,1.002560162,1.059440707,0.986568181,1.036812209,1.037106751,0.999491667,1.017213017,1.01244972,1.015205602,1.012066984,1.057516341,1.042587625,1.038356286,1.017254082,1.044194864,1.044940458,1.034832568,1.00858082
2018-10-31,0.825168896,0.904347281,0.884965113,0.838391662,0.903716997,0.891854495,0.959443611,0.900612026,0.943884851,0.942666656,0.936595891,0.943939767,0.936802364,0.951464063,0.949645083,0.971516831,0.976010892,0.942338338,0.952030898,0.952542777,0.979599133,0.963077352,0.927977982
2018-11-30,0.871857389,0.952688947,0.926163674,0.899527504,0.948844758,0.922360397,0.993092088,0.955709575,1.007534654,0.973754273,0.970420992,0.988022272,0.964472381,0.981431555,0.989438894,0.970768823,1.018506531,0.953892035,0.997391861,0.983830217,1.007506864,0.980138093,0.965581699
2018-12-31,0.791358522,0.862175193,0.84072689,0.81339478,0.865487908,0.842135464,0.909364789,0.866509043,0.92568718,0.903988097,0.86467006,0.882236577,0.885010065,0.872288748,0.899178185,0.880644313,0.917587479,0.86747947,0.90928464,0.89142455,0.921336244,0.885929791,0.87676039
2019-01-31,0.890746799,0.940519334,0.920886504,0.898261511,0.945987007,0.952408795,0.987557192,0.958870325,1.034105403,0.996226423,0.939188868,0.959961689,0.958567167,0.952403503,0.99606585,0.961161584,1.02329136,0.946791096,1.0021838,0.966663311,1.021781319,0.961788834,0.964458516
2019-02-28,0.904469897,0.956340576,0.967919832,0.932368188,0.98669567,0.996715561,1.035225496,0.999440074,1.090347965,1.059897244,0.980935372,0.998948085,0.985901023,0.985112067,1.032431715,1.025940975,1.031870257,0.982728809,1.044245843,1.004983268,1.066027132,0.993049441,1.00326405
2019-03-31,0.912152666,0.964815411,0.966291041,0.93459271,1.010795265,1.010800767,1.054611596,1.008666347,1.098012249,1.065319383,0.985324764,1.018069771,0.984527026,0.987916964,0.999104061,1.01036068,1.02558675,0.988899312,1.0345687,1.025614299,1.066391114,1.008973425,1.007258137
2019-04-30,0.945268631,1.016398334,0.997330854,0.978925992,1.036963332,1.051433737,1.071666878,1.060441794,1.152656381,1.087358543,1.002181496,1.044075273,0.998498615,1.01392433,1.027041,1.04300912,1.066157139,1.000583602,1.064525419,1.048325291,1.115823006,1.049488215,1.039170894
2019-05-31,0.837011033,0.924939822,0.92183903,0.897925643,0.945610734,0.936412564,0.95902727,0.978633966,1.006888768,0.974865842,0.900242703,0.925657574,0.921297635,0.897200025,0.930680019,0.957936883,0.950183614,0.872880711,0.951063242,0.920905172,1.007062662,0.983356781,0.934203091
2019-06-30,0.945765893,0.990276651,1.003568396,0.970623405,1.029042614,1.034001718,1.072440344,1.071145407,1.132730516,1.053219202,0.973096528,0.996686463,0.988163987,0.960202668,1.00762745,1.031207114,1.034774782,0.938024706,1.026526878,0.988340116,1.099948149,1.052064041,1.016543476
2019-07-31,0.947287915,1.001818573,1.003039132,0.974986075,1.043223151,1.054059918,1.09185799,1.079287893,1.13396081,1.070859168,0.962589488,0.992816474,0.988854785,0.960206565,1.014537085,1.033099652,1.039361187,0.944160842,1.047955803,0.999066606,1.109687245,1.06616757,1.023462684
2019-08-31,0.902986694,0.962511414,0.99206595,0.945219837,1.00691277,1.013538848,1.074155553,1.051534041,1.111235218,1.086317227,0.946824363,0.939791484,0.970861795,0.879150999,0.954691852,1.024329633,0.963370612,0.918827631,1.049496082,0.978182303,1.085103903,1.04840263,0.993195629
2019-09-30,0.963004707,1.016293397,1.032531907,1.008699427,1.056889257,1.076452376,1.112629023,1.111530378,1.174602221,1.117733153,0.998677558,1.000126129,1.023527384,0.934988858,1.010005114,1.070455322,1.025700818,0.963672501,1.106394235,1.023447321,1.150439377,1.065817813,1.046561927
2019-10-31,1.001671826,1.059652056,1.05677706,1.016661345,1.073351267,1.121747371,1.17783686,1.140299586,1.230221179,1.146498314,1.010350231,1.016675329,1.058994713,0.942677505,1.045724801,1.093143845,1.062548066,0.979862489,1.133015796,1.046699479,1.194590328,1.08870372,1.076619021
2019-11-30,1.041478906,1.100186487,1.084700962,1.0574488,1.122970749,1.191900071,1.25224964,1.179727786,1.277592166,1.187369669,1.071015523,1.059740444,1.098455071,0.982961437,1.091610226,1.129321634,1.117251459,1.021453105,1.184380727,1.082997657,1.255911913,1.124580124,1.12336783
2019-12-31,1.064534475,1.1334805,1.13188364,1.090010425,1.166400617,1.225968936,1.279197118,1.226482145,1.329770212,1.221427593,1.09557135,1.081556225,1.110538587,0.959697572,1.11290305,1.155428186,1.154977442,1.045276462,1.20172826,1.087971229,1.271951534,1.155905379,1.149845503
2020-01-31,0.989872416,1.107104714,1.101741257,1.049279155,1.124909732,1.162600036,1.218083634,1.172728199,1.278971508,1.181010229,1.043208427,1.037767231,1.049186005,0.915456952,1.057679044,1.151098135,1.098183291,1.010322332,1.148041399,1.047178062,1.200029779,1.156872496,1.10211674
2020-02-29,0.87730436,0.996784028,1.008436613,0.971026422,1.03882327,1.053560591,1.161941559,1.090621068,1.188614142,1.105406171,0.921747298,0.935421729,0.932637337,0.803071642,0.945205611,1.053878555,0.970632166,0.889752898,1.032421773,0.958806399,1.071804104,1.062187719,1.000376083
2020-03-31,0.681307746,0.841315648,0.93730329,0.815379519,0.933503222,0.923568744,1.027615643,0.956714647,1.070725518,0.986881005,0.816701451,0.743784834,0.751590305,0.629188092,0.729477972,0.890415411,0.778075236,0.780535595,0.854234641,0.791296147,0.870158222,0.934503635,0.848084423
2020-04-30,0.793147333,0.978183744,0.987959094,0.93149975,1.064744401,1.054366249,1.197416826,1.084561956,1.219754793,1.106700696,0.935928493,0.881765735,0.882503171,0.75234042,0.840597365,0.923219898,0.930626325,0.877519351,1.001018526,0.955453123,1.020710673,1.053131657,0.972381806
2020-05-31,0.837425663,1.022344463,1.011620979,0.972666456,1.112056057,1.098439949,1.284192166,1.129219777,1.297423155,1.10598941,0.970484837,0.916499391,0.923971551,0.79684041,0.872634002,0.962519288,0.958984653,0.906978721,1.052534474,1.013538806,1.064186737,1.102266401,1.01478814
2020-06-30,0.865005969,1.052772503,1.044373819,0.989109848,1.139787007,1.150733294,1.297583451,1.173789208,1.362888749,1.176383219,0.981212541,0.933190337,0.953571379,0.826088248,0.918607936,0.983051483,0.99871929,0.953056545,1.092725644,1.048504291,1.111923208,1.124594055,1.05014657
2020-07-31,0.878025025,1.114023283,1.048562796,1.029385914,1.190413053,1.184570788,1.358718548,1.190913818,1.376670937,1.228117201,1.004354306,0.959636805,0.968739317,0.844902346,0.926253502,0.977487281,1.032416068,0.990851405,1.169922085,1.107564667,1.183042608,1.188936461,1.084027226
2020-08-31,0.914692225,1.161836028,1.073772589,1.077177869,1.246071208,1.242620393,1.397233497,1.244673802,1.420707832,1.296348707,1.046543489,0.988422275,0.984507507,0.874854688,0.948277926,1.02812302,1.060197264,1.05694099,1.254337073,1.15222047,1.242866509,1.274748044,1.129163112
