factor,direction,category,z_score_weight
Operating Income/Total Capital,TRUE,Garbage1,1
Cash Dividend Coverage Ratio,TRUE,Garbage2,1
Non-Performing Loans % Equity,TRUE,Garbage3,1
Reserve For Loan Losses % Total Capital,TRUE,Garbage4,1
Total Capital % Total Deposits,FALSE,Garbage5,1
Expense Ratio,TRUE,Garbage6,1
EfficiencyValue,FALSE,Garbage7,1
Earning Assets % Total Assets,FALSE,Garbage8,1
Operating Income - 5 Yr Annual Growth,TRUE,Garbage9,1
PriceMomentum,FALSE,Garbage10,1
